date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:05	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Wed,%2018%20Jan%202023%2020:16:49%20GMT	https://nataliafaria.arq.br/wp-admin/admin-ajax.php	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-admin/admin-ajax.php	(from https://nataliafaria.arq.br/)
17:16:06	64512/64512	---M--	200	added ('OK')	font/woff2	etag:%2262727a12-fc00%22	https://nataliafaria.arq.br/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.woff2?87visu	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.woff2	(from https://nataliafaria.arq.br/)
17:16:07	116416/116416	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262727a12-1c6c0%22	https://nataliafaria.arq.br/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.eot?87visu	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.eot	(from https://nataliafaria.arq.br/)
17:16:08	116252/116252	---M--	200	added ('OK')	application/octet-stream	etag:%2262727a12-1c61c%22	https://nataliafaria.arq.br/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.ttf?87visu	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.ttf	(from https://nataliafaria.arq.br/)
17:16:09	116328/116328	---M--	200	added ('OK')	font/woff	etag:%2262727a12-1c668%22	https://nataliafaria.arq.br/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.woff?87visu	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.woff	(from https://nataliafaria.arq.br/)
17:16:10	588/588	---MC-	200	added ('OK')	text/css	date:Wed,%2018%20Jan%202023%2020:16:54%20GMT	https://fonts.googleapis.com/css?family=Nunito:400,300,700&subset=latin	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/cssb8af.css	(from https://nataliafaria.arq.br/)
17:16:10	322884/322884	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262727a12-4ed44%22	https://nataliafaria.arq.br/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.svg?87visu	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.svg	(from https://nataliafaria.arq.br/)
17:16:10	492/492	---MC-	200	added ('OK')	text/css	date:Wed,%2018%20Jan%202023%2020:16:54%20GMT	https://fonts.googleapis.com/css?family=Open+Sans%3A400%2C700&ver=1.3.12	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/css897c.css	(from https://nataliafaria.arq.br/)
17:16:11	83419/83419	---MCZ	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2011:30:25%20GMT	https://c0.wp.com/c/5.9.5/wp-includes/css/dist/block-library/style.min.css	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/c/5.9.5/wp-includes/css/dist/block-library/style.min.css	(from https://nataliafaria.arq.br/)
17:16:11	95599/95599	---MCZ	200	added ('OK')	text/css	etag:W/%2262727a0e-1756f%22	https://nataliafaria.arq.br/wp-content/plugins/bloom/css/style.css?ver=1.3.12	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/plugins/bloom/css/style9484.css	(from https://nataliafaria.arq.br/)
